                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.1344,                0.67697,                0.88869,                0.96652,                0.78378,                0.88687,                0.54413,                 1.2757,                 1.1538,                0.94805,               0.000614,               0.000614,               0.000614
                     73,                 1.1224,                 0.6481,                0.85405,                0.93678,                0.80115,                0.88394,                0.53162,                 1.3206,                 1.1961,                0.95619,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.0874,                0.68201,                0.88235,                0.99747,                0.75676,                0.86064,                0.51648,                 1.3779,                 1.2844,                0.95655,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.1573,                0.67614,                0.88636,                0.89007,                0.75676,                0.86643,                0.52913,                  1.348,                 1.1755,                0.96234,              0.0005546,              0.0005546,              0.0005546
                     76,                  1.088,                0.67792,                0.87744,                0.95959,                0.75676,                0.87337,                 0.5546,                  1.294,                 1.0529,                0.95573,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.1443,                0.65752,                0.87828,                0.95677,                0.78378,                0.85901,                0.52302,                 1.3113,                 1.1225,                0.94254,               0.000515,               0.000515,               0.000515
                     78,                 1.1373,                0.64684,                0.88514,                0.87282,                0.75676,                0.84439,                0.50189,                 1.3443,                 1.1809,                0.92921,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.1011,                0.65483,                0.89539,                0.84857,                0.75726,                 0.8388,                0.50692,                 1.3205,                 1.1793,                0.93115,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.1013,                0.63641,                0.89123,                 0.9375,                0.72973,                0.86487,                0.53088,                 1.2694,                 1.1541,                0.92794,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.0906,                0.62531,                0.88017,                0.96406,                0.72518,                 0.8506,                0.51922,                    1.3,                 1.2125,                 0.9268,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.0906,                0.62547,                0.88967,                  0.924,                0.72973,                0.84168,                0.51572,                 1.3128,                 1.2685,                0.93877,               0.000416,               0.000416,               0.000416
                     83,                 1.0505,                0.64439,                0.86454,                0.90826,                0.80287,                0.88137,                0.55567,                 1.2995,                 1.0325,                0.94899,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.0811,                0.62979,                0.87141,                      1,                0.80913,                 0.9208,                0.58102,                 1.2863,                0.91418,                0.94062,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.0566,                0.62405,                  0.885,                0.99283,                0.81081,                  0.921,                0.57753,                 1.2466,                0.89774,                0.93454,              0.0003566,              0.0003566,              0.0003566
                     86,                  1.092,                0.66188,                0.87225,                0.99812,                0.81081,                0.90172,                0.56543,                 1.2372,                0.90392,                0.93542,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.0533,                0.61466,                0.86922,                      1,                0.77451,                 0.8929,                0.56108,                  1.261,                0.93061,                0.94217,               0.000317,               0.000317,               0.000317
                     88,                 1.0756,                0.62766,                0.88075,                0.91249,                0.86486,                0.89435,                0.57461,                 1.2515,                0.91601,                0.93643,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.0323,                0.61919,                0.85574,                0.88836,                0.86036,                0.89478,                0.57344,                  1.214,                0.88008,                0.92658,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.0499,                0.60656,                0.84361,                0.91396,                0.86135,                0.90101,                0.57622,                 1.1918,                0.86366,                0.91825,              0.0002576,              0.0002576,              0.0002576
                     91,                0.96397,                0.56985,                0.85726,                0.96112,                0.83784,                0.90996,                 0.5813,                 1.1948,                0.86226,                0.91297,              0.0002378,              0.0002378,              0.0002378
                     92,                0.95379,                0.58698,                0.86978,                 0.9565,                0.83784,                0.91425,                0.58163,                 1.1883,                0.85229,                0.91065,               0.000218,               0.000218,               0.000218
                     93,                0.93579,                0.57297,                0.85037,                0.95625,                0.83784,                0.91923,                0.59519,                 1.1675,                0.82779,                0.90385,              0.0001982,              0.0001982,              0.0001982
                     94,                 0.9456,                0.56005,                   0.86,                0.94898,                0.83784,                0.92555,                 0.5948,                 1.1552,                  0.851,                 0.9089,              0.0001784,              0.0001784,              0.0001784
                     95,                0.94459,                0.56841,                0.86087,                  0.939,                0.83219,                0.91987,                0.61013,                 1.1665,                0.87829,                0.92112,              0.0001586,              0.0001586,              0.0001586
                     96,                0.93927,                0.54914,                0.86657,                0.93645,                0.83784,                0.91938,                0.62149,                 1.1934,                0.90048,                0.93782,              0.0001388,              0.0001388,              0.0001388
                     97,                0.95085,                0.53604,                0.85875,                0.92463,                0.83784,                0.92167,                0.62362,                 1.2037,                0.91193,                0.94278,               0.000119,               0.000119,               0.000119
                     98,                0.91961,                0.55557,                0.85176,                0.90909,                0.83784,                 0.9172,                0.61112,                 1.2125,                0.93739,                0.94505,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.93546,                0.55761,                0.85883,                0.87753,                0.83784,                0.91385,                0.59838,                 1.1943,                  0.951,                0.92487,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.94081,                0.53535,                0.85049,                0.93525,                0.81081,                 0.9153,                0.59239,                 1.1761,                0.93619,                0.90394,               5.96e-05,               5.96e-05,               5.96e-05
